gene,baseMean_all,baseMean_LG3-LG6-LG9,baseMean_LG2-LG5-LG8,foldChange,log2FoldChange,pval,padj
RGS22,54.2509344359062,25.9535792989678,82.5482895728446,3.18061291746868,1.66930480569436,0.00172508525170205,0.251436925719746
DKFZP434I0714,322.558064956465,124.532477598451,520.58365231448,4.18030430578181,2.06360796729723,0.00177947559163034,0.257464082666791
STAG3L1,20.7761885732674,7.24542256787397,34.3069545786608,4.73498326112503,2.24335932555964,0.00179747153305512,0.257464082666791
TESK1,1161.00002806769,1644.64910767778,677.350948457611,0.411851345855787,-1.27980439169297,0.00181070255267879,0.257464082666791
TLE6,52.2114408028209,26.2895552286005,78.1333263770413,2.97202922216196,1.57144830109215,0.00181354199929954,0.257464082666791
WIPI1,1126.10808002668,1622.3852318188,629.830928234559,0.388212932343126,-1.3650799162574,0.0018415060237405,0.259719122258284
TNFSF13B,61.7538096533364,17.9122733440902,105.595345962583,5.89513926759173,2.55952589603636,0.00185318497334731,0.259719122258284
SIX2,164.299094796739,236.501088668072,92.0971009254057,0.389415124657898,-1.36061917630117,0.00189386858579537,0.263730247714931
NRARP,182.850642287134,105.112531345659,260.58875322861,2.479140687533,1.30984014453757,0.00193795426294897,0.268161354752236
NHLH2,54.345704942981,26.1851903323512,82.5062195536107,3.15087339470953,1.65575178656928,0.00196042564585868,0.26956469116609
SOCS3,1563.71752785291,2220.03725311273,907.397802593087,0.408730890132955,-1.2907768146862,0.00201477095933519,0.275305859274658
CCDC74B,79.9110609123009,38.4027072472851,121.419414577317,3.16174101464944,1.66071919812537,0.00205146114688066,0.278578230150633
LOC100507316,126.046223106036,56.1412041466325,195.951242065439,3.49032845027056,1.80336280471009,0.00208913197015946,0.281942544837014
LGALS3BP,11215.4580585647,5381.93239186813,17048.9837252613,3.16781826375627,1.66348957105569,0.00213902410728892,0.285334772250697
ING4,470.437580567154,277.803524630662,663.071636503646,2.38683665869681,1.25509984008906,0.00214879194677121,0.285334772250697
LOC100132356,77.1218033750427,39.3040187376002,114.939588012485,2.92437241035935,1.54812704602598,0.00215342073006289,0.285334772250697
HLA-DOB,9.87402451148573,2.30919708502024,17.4388519379512,7.55191146354593,2.9168418510541,0.00216785640030082,0.285517135420342
RAPGEF2,1626.10561860088,2285.63047356869,966.580763633059,0.422894590709529,-1.24162998807101,0.00224452713417521,0.293668496226592
ZNF202,388.13548331489,558.044546367747,218.226420262033,0.391055555837694,-1.35455451436766,0.00225661196386897,0.293668496226592
LOC100130557,159.720629583579,37.215771242561,282.225487924597,7.58349158170437,2.92286224520387,0.00227595905198177,0.29443368493182
SST,18677.4667208781,10163.1353495086,27191.7980922476,2.6755324176178,1.41982600920581,0.00233073404529363,0.297078144774649
ATP6V1E2,73.741213591449,108.754352435139,38.7280747477593,0.356105975352636,-1.48962145098844,0.00233387553022583,0.297078144774649
CMPK2,1016.80634226785,178.390172147566,1855.22251238812,10.3998022427686,3.37848418997588,0.00233716511463384,0.297078144774649
ADAMTS13,93.8984472591632,51.1758137959496,136.621080722377,2.66964158629931,1.41664606536694,0.00237894680843201,0.298681829068757
PDP2,362.320570491031,510.560968502885,214.080172479176,0.419303835753293,-1.25393206699988,0.00238359222277806,0.298681829068757
RBM15B,1750.87554046078,2459.36149899134,1042.38958193022,0.423845612919343,-1.23838924056209,0.00239076613854605,0.298681829068757
